cloud,environment,nodeType,nodeCount,region,runnerType,runDate,iteration,timestamp,testName,passed,attemptNumber,testDuration,ttfb,domInteractive,domContentLoaded,loadComplete,redirectTime,dnsLookup,tcpConnect,tlsHandshake,serverProcessing,contentDownload,transferSize,encodedBodySize,decodedBodySize,resourceCount,totalResourceTransferSize,fcp,lcp,cls,tbt,inp,jsHeapUsed,jsHeapTotal,runnerExecutionSeconds,runnerQueueSeconds,installSeconds,testSeconds,rttDnsSecondsMean,rttTcpSecondsMean,rttTtfbSecondsMean
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,1,2026-05-09T19:33:53.471Z,should add a product to the cart,true,1,4887,20.20000000001164,52.5,52.5,52.5,6.399999999965075,0,0,0,12.599999999976717,0.5999999999767169,16761,16461,16461,17,0,80,80,0,0,-1,10000000,10000000,123,0,46,15,0.001054,0.002144,0.025826
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,1,2026-05-09T19:33:55.617Z,should clear the cart,true,1,1603,79.90000000002328,112.90000000002328,112.90000000002328,113,0,0,0,0,78.90000000002328,0.7000000000116415,7143,6843,6843,16,0,164,164,0,0,-1,10000000,11200000,123,0,46,15,0.001054,0.002144,0.025826
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,1,2026-05-09T19:33:56.946Z,should display checkout form,true,1,760,14.299999999988358,57.899999999965075,58.09999999997672,58.20000000001164,0,0,0,0,13.099999999976717,0.7000000000116415,16767,16467,16467,17,0,80,80,0,0,24,10000000,10000000,123,0,46,15,0.001054,0.002144,0.025826
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,1,2026-05-09T19:33:58.613Z,should complete full purchase,true,1,1203,21,63,64.80000000004657,64.90000000002328,0,0,0,0,19.29999999998836,0.6000000000349246,7106,6806,6806,15,0,-1,-1,0,0,-1,10000000,10000000,123,0,46,15,0.001054,0.002144,0.025826
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,1,2026-05-09T19:33:59.369Z,should load the home page and display products,true,1,282,28.70000000001164,151.30000000004657,151.60000000003492,169.60000000003492,0,6.7000000000116415,0.7999999999883585,0,20.20000000001164,0.6000000000349246,10799,10499,10499,20,924904,156,244,0.215,0,-1,10000000,10000000,123,0,46,15,0.001054,0.002144,0.025826
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,1,2026-05-09T19:34:00.315Z,should navigate to product details page when a product is clicked,true,1,427,15.800000000046566,74.40000000002328,74.5,74.60000000003492,0,0,0,0,14.200000000011642,0.6999999999534339,8297,7997,7997,17,0,120,120,0,0,-1,10000000,10000000,123,0,46,15,0.001054,0.002144,0.025826
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,2,2026-05-09T19:36:34.643Z,should add a product to the cart,true,1,5553,21.29999999998836,49.79999999998836,50,60.79999999998836,5.900000000023283,0,0,0,13.799999999988358,0.6000000000349246,16743,16443,16443,17,0,104,104,0,0,40,10000000,10000000,124,0,46,15,0.000953,0.002862,0.042864
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,2,2026-05-09T19:36:36.567Z,should clear the cart,true,1,1375,14,44.70000000001164,44.79999999998836,51.40000000002328,0,0,0,0,11.099999999976717,3.5,7167,6867,6867,16,0,-1,-1,0,0,-1,10000000,11200000,124,0,46,15,0.000953,0.002862,0.042864
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,2,2026-05-09T19:36:37.884Z,should display checkout form,true,1,765,14,54.5,54.600000000034925,54.70000000001164,0,0,0,0,12.700000000011642,2,16727,16427,16427,17,0,80,80,0,0,-1,10000000,10000000,124,0,46,15,0.000953,0.002862,0.042864
aws,eks,m5.large,2,eu-central-1,codebuild,2026-05-09,2,2026-05-09T19:36:39.502Z,should complete full purchase,true,1,1137,21.29999999998836,37.399999999965075,37.5,38.79999999998836,0,0,0,0,19.900000000023283,0.5999999999767169,7128,6828,6828,15,0,-1,-1,0,0,-1,10000000,10600000,124,0,46,15,0.000953,0.002862,0.042864
